Player,2017_Team,2017_Yards,2017_YardsRun,2017_Targets,2017_YardsPerRoute,2017_OpenScore,2017_CatchScore,2017_YACScore,2017_Overall,2018_Team,2018_Yards,2018_YardsRun,2018_Targets,2018_YardsPerRoute,2018_OpenScore,2018_CatchScore,2018_YACScore,2018_Overall,2019_Team,2019_Yards,2019_YardsRun,2019_Targets,2019_YardsPerRoute,2019_OpenScore,2019_CatchScore,2019_YACScore,2019_Overall,2020_Team,2020_Yards,2020_YardsRun,2020_Targets,2020_YardsPerRoute,2020_OpenScore,2020_CatchScore,2020_YACScore,2020_Overall,2021_Team,2021_Yards,2021_YardsRun,2021_Targets,2021_YardsPerRoute,2021_OpenScore,2021_CatchScore,2021_YACScore,2021_Overall,2022_Team,2022_Yards,2022_YardsRun,2022_Targets,2022_YardsPerRoute,2022_OpenScore,2022_CatchScore,2022_YACScore,2022_Overall
Ted Ginn,Saints,974.00,401.00,76.00,2.40,63.00,78.00,59.00,76.00,,,,,,,,,,Saints,439.00,408.00,57.00,1.10,60.00,25.00,44.00,41.00,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tee Higgins,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bengals,908.00,434.00,103.00,2.10,53.00,49.00,61.00,56.00,Bengals,"1,400.00",583.00,137.00,2.40,62.00,60.00,61.00,67.00,Bengals,"1,177.00",616.00,133.00,1.90,67.00,83.00,50.00,77.00
Terrance Williams,Cowboys,568.00,381.00,70.00,1.50,62.00,46.00,37.00,50.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Terry McLaurin,,,,,,,,,,,,,,,,,,,Commanders,919.00,387.00,88.00,2.40,73.00,72.00,58.00,79.00,Commanders,"1,193.00",553.00,124.00,2.20,50.00,45.00,58.00,51.00,Commanders,"1,053.00",515.00,123.00,2.00,42.00,74.00,53.00,58.00,Commanders,"1,191.00",541.00,113.00,2.20,51.00,77.00,64.00,70.00
Tim Patrick,,,,,,,,,,,,,,,,,,,,,,,,,,,,Broncos,742.00,386.00,78.00,1.90,42.00,83.00,50.00,61.00,Broncos,734.00,448.00,85.00,1.60,64.00,54.00,56.00,64.00,,,,,,,,,
Torrey Smith,Eagles,587.00,451.00,82.00,1.30,49.00,46.00,46.00,45.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Travis Benjamin,Chargers,567.00,348.00,61.00,1.60,47.00,39.00,55.00,45.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Travis Fulgham,,,,,,,,,,,,,,,,,,,,,,,,,,,,Eagles,539.00,312.00,65.00,1.70,57.00,55.00,51.00,57.00,,,,,,,,,,,,,,,,,,
Travis Kelce,Chiefs,"1,104.00",441.00,106.00,2.50,76.00,50.00,41.00,62.00,Chiefs,"1,467.00",528.00,149.00,2.80,67.00,54.00,52.00,64.00,Chiefs,"1,436.00",572.00,147.00,2.50,65.00,68.00,50.00,68.00,Chiefs,"1,776.00",580.00,173.00,3.10,55.00,65.00,51.00,61.00,Chiefs,"1,424.00",601.00,147.00,2.40,78.00,37.00,59.00,65.00,Chiefs,"1,595.00",616.00,163.00,2.60,78.00,65.00,50.00,75.00
Tre'Quan Smith,,,,,,,,,,,,,,,,,,,,,,,,,,,,Saints,533.00,362.00,52.00,1.50,51.00,48.00,68.00,58.00,,,,,,,,,,,,,,,,,,
Trent Sherfield,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dolphins,417.00,409.00,53.00,1.00,50.00,40.00,46.00,43.00
Trent Taylor,49ers,430.00,326.00,57.00,1.30,31.00,53.00,43.00,36.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trey Burton,,,,,,,,,,Bears,569.00,412.00,65.00,1.40,46.00,49.00,42.00,43.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Treylon Burks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Titans,444.00,230.00,49.00,1.90,65.00,40.00,51.00,55.00
Tyler Boyd,,,,,,,,,,Bengals,"1,028.00",441.00,100.00,2.30,33.00,70.00,54.00,51.00,Bengals,"1,046.00",556.00,142.00,1.90,38.00,34.00,63.00,40.00,Bengals,841.00,451.00,100.00,1.90,45.00,55.00,50.00,50.00,Bengals,938.00,613.00,103.00,1.50,58.00,56.00,52.00,59.00,Bengals,851.00,606.00,90.00,1.40,62.00,79.00,47.00,70.00
Tyler Conklin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Vikings,593.00,402.00,78.00,1.50,32.00,49.00,44.00,35.00,Jets,552.00,427.00,83.00,1.30,40.00,45.00,48.00,40.00
Tyler Eifert,,,,,,,,,,,,,,,,,,,Bengals,436.00,297.00,63.00,1.50,20.00,78.00,46.00,43.00,Jaguars,349.00,319.00,58.00,1.10,31.00,43.00,51.00,35.00,,,,,,,,,,,,,,,,,,
Tyler Higbee,,,,,,,,,,,,,,,,,,,Rams,734.00,231.00,77.00,3.20,61.00,58.00,51.00,61.00,Rams,530.00,295.00,61.00,1.80,33.00,57.00,60.00,47.00,Rams,675.00,485.00,83.00,1.40,41.00,45.00,40.00,37.00,Rams,620.00,370.00,89.00,1.70,38.00,11.00,46.00,21.00
Tyler Johnson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Buccaneers,405.00,393.00,58.00,1.00,35.00,43.00,54.00,39.00,,,,,,,,,
Tyler Kroft,Bengals,404.00,309.00,58.00,1.30,48.00,53.00,44.00,48.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tyler Lockett,Seahawks,555.00,422.00,65.00,1.30,60.00,60.00,42.00,58.00,Seahawks,"1,085.00",419.00,68.00,2.60,61.00,94.00,47.00,78.00,Seahawks,"1,255.00",575.00,124.00,2.20,59.00,86.00,41.00,70.00,Seahawks,"1,097.00",590.00,131.00,1.90,65.00,54.00,33.00,54.00,Seahawks,"1,175.00",439.00,102.00,2.70,67.00,84.00,48.00,77.00,Seahawks,"1,072.00",542.00,122.00,2.00,95.00,79.00,29.00,84.00
